timestamp,git_sha,name,strategy,M,K,N,M_block,K_block,N_block,host_median_ms,host_min_ms,host_max_ms,host_avg_ms,warmup,iters,dm_max_cycles,compute_max_cycles,NCRISC_cycles,BRISC_cycles,TRISC_0_cycles,TRISC_1_cycles,TRISC_2_cycles
2026-04-10 10:58:17,0be1bedc,ttnn.matmul (reference),ttnn_matmul,4096,4096,4096,,,,1.04,0.92,1.06,1.02,3,10,,,,,,,
2026-04-10 10:58:18,0be1bedc,v1_baseline K=8 Kblocks=16,single_reader,4096,4096,4096,8,8,8,3.93,3.87,3.94,3.92,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 10:58:18,0be1bedc,v1_baseline K=1 Kblocks=128,single_reader,4096,4096,4096,8,1,8,4.11,4.08,4.19,4.12,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 10:58:19,0be1bedc,v2_split_dma K=8 Kblocks=16,manual_k_loop,4096,4096,4096,8,8,8,3.41,3.38,3.46,3.41,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 10:58:19,0be1bedc,v2_split_dma K=1 Kblocks=128,manual_k_loop,4096,4096,4096,8,1,8,3.17,3.11,3.20,3.15,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 10:58:19,0be1bedc,v4_l1_acc K=8 Kblocks=16,l1_acc,4096,4096,4096,8,8,8,3.39,3.35,3.53,3.40,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 10:58:20,0be1bedc,v4_l1_acc K=1 Kblocks=128,l1_acc,4096,4096,4096,8,1,8,2.96,2.93,3.00,2.96,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 10:58:21,0be1bedc,ttnn.matmul (reference),ttnn_matmul,2048,2048,2048,,,,0.18,0.18,0.19,0.18,3,10,,,,,,,
2026-04-10 10:58:22,0be1bedc,v4_l1_acc K=8 Kblocks=8 (DRAM 2048^3),l1_acc_dram_2k,2048,2048,2048,8,8,8,0.56,0.55,0.60,0.56,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 10:58:23,0be1bedc,v4_l1_acc K=1 Kblocks=64 (DRAM 2048^3),l1_acc_dram_2k,2048,2048,2048,8,1,8,0.46,0.46,0.47,0.46,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 10:58:23,0be1bedc,ttnn.matmul L1 (reference),ttnn_matmul,2048,2048,2048,,,,0.55,0.54,0.57,0.55,3,10,,,,,,,
2026-04-10 10:58:23,0be1bedc,v2_split_dma K=8 Kblocks=2 (L1),manual_k_loop_l1,2048,2048,2048,8,8,8,0.48,0.45,0.55,0.49,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 10:58:23,0be1bedc,v2_split_dma K=1 Kblocks=16 (L1),manual_k_loop_l1,2048,2048,2048,8,1,8,0.49,0.48,0.50,0.49,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 10:58:23,0be1bedc,v4_l1_acc K=8 Kblocks=2 (L1),l1_acc_l1,2048,2048,2048,8,8,8,0.50,0.42,0.57,0.50,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 10:58:24,0be1bedc,v4_l1_acc K=1 Kblocks=16 (L1),l1_acc_l1,2048,2048,2048,8,1,8,0.38,0.37,0.39,0.38,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 10:58:25,0be1bedc,ttnn.matmul (reference),ttnn_matmul,4096,4096,4096,,,,0.92,0.77,1.04,0.90,3,10,,,,,,,
2026-04-10 10:58:25,0be1bedc,v2_split_dma K=8 bf16acc,manual_k_bf16acc,4096,4096,4096,8,8,8,3.43,3.33,3.51,3.42,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 10:58:25,0be1bedc,v2_split_dma K=1 bf16acc,manual_k_bf16acc,4096,4096,4096,8,1,8,2.98,2.96,3.01,2.98,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 14:53:36,unknown,ttnn.matmul (reference),ttnn_matmul,4096,4096,4096,,,,1.05,0.92,1.07,1.02,3,10,,,,,,,
2026-04-10 14:53:38,unknown,v1_baseline K=8 Kblocks=16,single_reader,4096,4096,4096,8,8,8,3.94,3.87,3.96,3.93,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 14:53:39,unknown,v1_baseline K=1 Kblocks=128,single_reader,4096,4096,4096,8,1,8,4.04,4.00,4.08,4.04,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 14:53:40,unknown,v2_split_dma K=8 Kblocks=16,manual_k_loop,4096,4096,4096,8,8,8,3.53,3.48,3.60,3.53,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 14:53:41,unknown,v2_split_dma K=1 Kblocks=128,manual_k_loop,4096,4096,4096,8,1,8,3.08,3.03,3.15,3.09,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 14:53:43,unknown,v4_l1_acc K=8 Kblocks=16,l1_acc,4096,4096,4096,8,8,8,3.39,3.33,3.43,3.37,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 14:53:44,unknown,v4_l1_acc K=1 Kblocks=128,l1_acc,4096,4096,4096,8,1,8,2.89,2.74,2.95,2.87,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 14:53:45,unknown,ttnn.matmul (reference),ttnn_matmul,2048,2048,2048,,,,0.19,0.18,0.19,0.19,3,10,,,,,,,
2026-04-10 14:53:46,unknown,v4_l1_acc K=8 Kblocks=8 (DRAM 2048^3),l1_acc_dram_2k,2048,2048,2048,8,8,8,0.56,0.55,0.57,0.56,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 14:53:47,unknown,v4_l1_acc K=1 Kblocks=64 (DRAM 2048^3),l1_acc_dram_2k,2048,2048,2048,8,1,8,0.49,0.48,0.50,0.49,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 14:53:48,unknown,ttnn.matmul L1 (reference),ttnn_matmul,2048,2048,2048,,,,0.54,0.54,0.56,0.54,3,10,,,,,,,
2026-04-10 14:53:50,unknown,v2_split_dma K=8 Kblocks=2 (L1),manual_k_loop_l1,2048,2048,2048,8,8,8,0.49,0.42,0.53,0.48,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 14:53:51,unknown,v2_split_dma K=1 Kblocks=16 (L1),manual_k_loop_l1,2048,2048,2048,8,1,8,0.48,0.47,0.49,0.48,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 14:53:52,unknown,v4_l1_acc K=8 Kblocks=2 (L1),l1_acc_l1,2048,2048,2048,8,8,8,0.46,0.40,0.51,0.46,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 14:53:53,unknown,v4_l1_acc K=1 Kblocks=16 (L1),l1_acc_l1,2048,2048,2048,8,1,8,0.38,0.37,0.39,0.38,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 14:53:54,unknown,ttnn.matmul (reference),ttnn_matmul,4096,4096,4096,,,,1.02,0.79,1.07,0.97,3,10,,,,,,,
2026-04-10 14:53:55,unknown,v2_split_dma K=8 bf16acc,manual_k_bf16acc,4096,4096,4096,8,8,8,3.44,3.37,3.55,3.45,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-10 14:53:57,unknown,v2_split_dma K=1 bf16acc,manual_k_bf16acc,4096,4096,4096,8,1,8,3.08,3.01,3.09,3.06,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:22:23,unknown,ttnn.matmul (reference),ttnn_matmul,4096,4096,4096,,,,0.89,0.78,1.02,0.89,3,10,,,,,,,
2026-04-13 07:22:23,unknown,v1_baseline K=8 Kblocks=16,single_reader,4096,4096,4096,8,8,8,3.94,3.84,4.03,3.93,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:22:24,unknown,v1_baseline K=1 Kblocks=128,single_reader,4096,4096,4096,8,1,8,4.15,4.00,4.20,4.13,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:22:24,unknown,v2_split_dma K=8 Kblocks=16,manual_k_loop,4096,4096,4096,8,8,8,3.59,3.34,3.69,3.53,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:22:24,unknown,v2_split_dma K=1 Kblocks=128,manual_k_loop,4096,4096,4096,8,1,8,3.25,3.14,3.26,3.22,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:22:26,unknown,v4_l1_acc K=8 Kblocks=16,l1_acc,4096,4096,4096,8,8,8,3.37,3.32,3.43,3.37,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:22:26,unknown,v4_l1_acc K=1 Kblocks=128,l1_acc,4096,4096,4096,8,1,8,3.00,2.96,3.04,2.99,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:22:27,unknown,ttnn.matmul (reference),ttnn_matmul,2048,2048,2048,,,,0.19,0.19,0.20,0.19,3,10,,,,,,,
2026-04-13 07:22:28,unknown,v4_l1_acc K=8 Kblocks=8 (DRAM 2048^3),l1_acc_dram_2k,2048,2048,2048,8,8,8,0.55,0.55,0.57,0.55,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:22:29,unknown,v4_l1_acc K=1 Kblocks=64 (DRAM 2048^3),l1_acc_dram_2k,2048,2048,2048,8,1,8,0.48,0.47,0.49,0.48,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:22:29,unknown,ttnn.matmul L1 (reference),ttnn_matmul,2048,2048,2048,,,,0.55,0.55,0.55,0.55,3,10,,,,,,,
2026-04-13 07:22:29,unknown,v2_split_dma K=8 Kblocks=2 (L1),manual_k_loop_l1,2048,2048,2048,8,8,8,0.48,0.46,0.62,0.50,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:22:29,unknown,v2_split_dma K=1 Kblocks=16 (L1),manual_k_loop_l1,2048,2048,2048,8,1,8,0.49,0.48,0.50,0.49,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:22:30,unknown,v4_l1_acc K=8 Kblocks=2 (L1),l1_acc_l1,2048,2048,2048,8,8,8,0.50,0.43,0.53,0.48,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:22:30,unknown,v4_l1_acc K=1 Kblocks=16 (L1),l1_acc_l1,2048,2048,2048,8,1,8,0.38,0.37,0.40,0.38,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:22:31,unknown,ttnn.matmul (reference),ttnn_matmul,4096,4096,4096,,,,0.93,0.78,0.97,0.89,3,10,,,,,,,
2026-04-13 07:22:31,unknown,v2_split_dma K=8 bf16acc,manual_k_bf16acc,4096,4096,4096,8,8,8,3.45,3.33,3.55,3.43,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:22:32,unknown,v2_split_dma K=1 bf16acc,manual_k_bf16acc,4096,4096,4096,8,1,8,3.08,2.97,3.16,3.07,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:16,unknown,ttnn.matmul (reference),ttnn_matmul,4096,4096,4096,,,,0.88,0.77,1.03,0.88,3,10,,,,,,,
2026-04-13 07:31:16,unknown,v1_baseline K=8 Kblocks=16,single_reader,4096,4096,4096,8,8,8,3.87,3.82,3.95,3.88,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:18,unknown,v1_baseline K=4 Kblocks=32,single_reader,4096,4096,4096,8,4,8,4.13,4.08,4.14,4.12,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:19,unknown,v1_baseline K=2 Kblocks=64,single_reader,4096,4096,4096,8,2,8,4.25,4.20,4.32,4.24,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:19,unknown,v1_baseline K=1 Kblocks=128,single_reader,4096,4096,4096,8,1,8,4.10,4.04,4.21,4.12,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:20,unknown,v2_split_dma K=8 Kblocks=16,manual_k_loop,4096,4096,4096,8,8,8,3.41,3.33,3.51,3.41,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:21,unknown,v2_split_dma K=4 Kblocks=32,manual_k_loop,4096,4096,4096,8,4,8,3.44,3.33,3.48,3.41,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:22,unknown,v2_split_dma K=2 Kblocks=64,manual_k_loop,4096,4096,4096,8,2,8,2.99,2.96,3.01,2.98,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:22,unknown,v2_split_dma K=1 Kblocks=128,manual_k_loop,4096,4096,4096,8,1,8,3.23,3.01,3.30,3.15,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:23,unknown,v4_l1_acc K=8 Kblocks=16,l1_acc,4096,4096,4096,8,8,8,3.55,3.36,3.64,3.52,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:24,unknown,v4_l1_acc K=4 Kblocks=32,l1_acc,4096,4096,4096,8,4,8,3.39,3.34,3.51,3.40,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:26,unknown,v4_l1_acc K=2 Kblocks=64,l1_acc,4096,4096,4096,8,2,8,3.10,3.01,3.21,3.08,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:26,unknown,v4_l1_acc K=1 Kblocks=128,l1_acc,4096,4096,4096,8,1,8,2.95,2.91,2.98,2.95,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:26,unknown,ttnn.matmul (reference),ttnn_matmul,2048,2048,2048,,,,0.19,0.19,0.19,0.19,3,10,,,,,,,
2026-04-13 07:31:26,unknown,v4_l1_acc K=8 Kblocks=8,l1_acc_dram_2k,2048,2048,2048,8,8,8,0.56,0.55,0.56,0.56,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:28,unknown,v4_l1_acc K=4 Kblocks=16,l1_acc_dram_2k,2048,2048,2048,8,4,8,0.54,0.52,0.55,0.53,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:29,unknown,v4_l1_acc K=2 Kblocks=32,l1_acc_dram_2k,2048,2048,2048,8,2,8,0.48,0.47,0.49,0.48,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:29,unknown,v4_l1_acc K=1 Kblocks=64,l1_acc_dram_2k,2048,2048,2048,8,1,8,0.48,0.46,0.50,0.48,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:29,unknown,ttnn.matmul L1 (reference),ttnn_matmul,2048,2048,2048,,,,0.55,0.55,0.55,0.55,3,10,,,,,,,
2026-04-13 07:31:30,unknown,v2_split_dma K=8 Kblocks=8,manual_k_loop_l1,2048,2048,2048,8,8,8,0.49,0.45,0.55,0.48,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:31,unknown,v2_split_dma K=4 Kblocks=16,manual_k_loop_l1,2048,2048,2048,8,4,8,0.40,0.38,0.44,0.40,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:32,unknown,v2_split_dma K=2 Kblocks=32,manual_k_loop_l1,2048,2048,2048,8,2,8,0.41,0.40,0.42,0.41,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:32,unknown,v2_split_dma K=1 Kblocks=64,manual_k_loop_l1,2048,2048,2048,8,1,8,0.48,0.47,0.48,0.48,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:33,unknown,v4_l1_acc K=8 Kblocks=8,l1_acc_l1,2048,2048,2048,8,8,8,0.47,0.41,0.54,0.47,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:34,unknown,v4_l1_acc K=4 Kblocks=16,l1_acc_l1,2048,2048,2048,8,4,8,0.38,0.36,0.40,0.38,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:34,unknown,v4_l1_acc K=2 Kblocks=32,l1_acc_l1,2048,2048,2048,8,2,8,0.36,0.35,0.36,0.36,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:35,unknown,v4_l1_acc K=1 Kblocks=64,l1_acc_l1,2048,2048,2048,8,1,8,0.38,0.37,0.39,0.38,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:36,unknown,ttnn.matmul (reference),ttnn_matmul,4096,4096,4096,,,,1.02,0.92,1.08,1.01,3,10,,,,,,,
2026-04-13 07:31:36,unknown,v2_split_dma bf16acc K=8 Kblocks=16,manual_k_bf16acc,4096,4096,4096,8,8,8,3.44,3.37,3.54,3.44,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:37,unknown,v2_split_dma bf16acc K=4 Kblocks=32,manual_k_bf16acc,4096,4096,4096,8,4,8,3.33,3.24,3.46,3.33,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:39,unknown,v2_split_dma bf16acc K=2 Kblocks=64,manual_k_bf16acc,4096,4096,4096,8,2,8,3.05,2.98,3.10,3.04,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
2026-04-13 07:31:39,unknown,v2_split_dma bf16acc K=1 Kblocks=128,manual_k_bf16acc,4096,4096,4096,8,1,8,3.00,2.90,3.06,2.99,3,10,5223199,5220372,5205154,5223199,5220311,5220326,5220372
